"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"275/45/20","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/50/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"275/55/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"275/60/20","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"285/35/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"285/45/20","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"285/50/20","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"295/30/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"295/35/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"295/40/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"305/30/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"305/45/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"305/50/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"315/35/20","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"255/35/21","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"265/40/21","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"265/45/21","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/45/21","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/50/21","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"295/30/21","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"295/35/21","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"295/40/21","22500","18000","11700","16200","12600","11700","11700","10800","900","14400","12600","9900","12600","11700","9000","9000","8100","7200","11700","10800","8100","9000","7650","6300","6300","5400","4500"
"315/40/21","22500","18000","11700","16200","12600","11700","11700","10800","900","14400","12600","9900","12600","11700","9000","9000","8100","7200","11700","10800","8100","9000","7650","6300","6300","5400","4500"
"275/40/22","22500","18000","11700","16200","12600","11700","11700","10800","900","14400","12600","9900","12600","11700","9000","9000","8100","7200","11700","10800","8100","9000","7650","6300","6300","5400","4500"
"275/50/22","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"285/45/22","22500","18000","11700","16200","12600","11700","11700","10800","900","14400","12600","9900","12600","11700","9000","9000","8100","7200","11700","10800","8100","9000","7650","6300","6300","5400","4500"
"305/35/22","22500","18000","11700","16200","12600","11700","11700","10800","900","14400","12600","9900","12600","11700","9000","9000","8100","7200","11700","10800","8100","9000","7650","6300","6300","5400","4500"
