"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"215/65/16 C","8925","8400","6825","7350","6300","5250","5250","4725","4200","8400","6825","5250","6825","5775","4200","5250","4725","2625","6300","5250","4200","5250","4200","3150","3675","2625","1680"
"215/70/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"225/55/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"225/60/16","6300","5775","4725","4725","4200","3675","3675","3150","3150","5775","4725","3675","4725","4200","3150","3675","3150","2100","4725","4200","3150","3675","3150","2100","2100","1575","1050"
"225/70/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"225/75/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"235/60/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"235/65/16 C","8925","8400","6825","7350","6300","5250","5250","4725","4200","8400","6825","5250","6825","5775","4200","5250","4725","2625","6300","5250","4200","5250","4200","3150","3675","2625","1680"
"235/70/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"235/75/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"245/70/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"245/75/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"255/70/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"265/70/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"265/75/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"275/70/16","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"205/45/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"205/50/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"205/55/17","9450","8925","7350","7875","6825","5775","6300","5775","4200","8400","7350","5775","7350","6300","5250","6300","5250","2625","7350","6300","5250","5775","4725","3675","4200","3150","2100"
"215/45/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"215/50/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"215/55/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"215/60/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"215/65/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"225/45/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"225/50/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"225/55/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"225/60/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"225/65/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"235/45/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"235/50/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"235/55/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"235/60/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"235/65/17","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"245/40/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"245/45/17","13650","11550","8400","11550","9450","6825","7350","6300","4725","11550","9450","6825","9975","8400","6300","7350","6300","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
