"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"275/35/18","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"275/40/18","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/60/18","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"285/35/18","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"285/40/18","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"285/60/18","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"225/45/19","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"225/55/19","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"235/45/19","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"235/50/19","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"235/55/19","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"235/65/19","12600","10500","7875","10500","8400","6300","6825","6300","4200","10500","8400","6825","9450","7350","6300","6825","5775","4200","8400","7350","5775","6300","5775","4200","4725","3675","2625"
"245/35/19","14700","12600","9450","11550","10500","7350","7350","6825","5250","12600","10500","7350","10500","9450","6300","7350","6300","5250","8925","7875","6300","6825","6300","4725","5250","4200","3150"
"245/40/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"245/45/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"245/55/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"255/35/19","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"255/40/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"255/45/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"255/50/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"255/55/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"265/50/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/35/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/40/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/45/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/55/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"285/35/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"285/45/19","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"295/30/19","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"235/55/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"245/35/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"245/40/20","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
